shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,robotiq_85_left_inner_knuckle_joint,robotiq_85_left_knuckle_joint,robotiq_85_right_inner_knuckle_joint,robotiq_85_right_knuckle_joint,robotiq_85_left_finger_tip_joint,robotiq_85_right_finger_tip_joint
1.52461,-0.931761,1.29313,-1.84191,-2.74835,1.75048,0.00901423,0.00900966,0.00901423,0.00901423,-0.00901423,-0.00901423
1.52935,-0.923036,1.30919,-1.84921,-2.76812,1.75956,0.00850073,0.00849642,0.00850073,0.00850073,-0.00850073,-0.00850073
1.53411,-0.914259,1.32535,-1.85656,-2.78802,1.76868,0.0079842,0.00798015,0.0079842,0.0079842,-0.0079842,-0.0079842
1.53891,-0.905433,1.3416,-1.86395,-2.80802,1.77786,0.0074648,0.00746102,0.0074648,0.0074648,-0.0074648,-0.0074648
1.54372,-0.896563,1.35794,-1.87137,-2.82813,1.78708,0.00694274,0.00693922,0.00694274,0.00694274,-0.00694274,-0.00694274
1.54856,-0.88765,1.37435,-1.87883,-2.84833,1.79635,0.0064182,0.00641495,0.0064182,0.0064182,-0.0064182,-0.0064182
1.55343,-0.878698,1.39083,-1.88633,-2.86862,1.80566,0.00589138,0.0058884,0.00589138,0.00589138,-0.00589138,-0.00589138
1.55831,-0.869711,1.40738,-1.89385,-2.88899,1.815,0.00536247,0.00535975,0.00536247,0.00536247,-0.00536247,-0.00536247
1.56321,-0.860691,1.42399,-1.9014,-2.90943,1.82438,0.00483165,0.0048292,0.00483165,0.00483165,-0.00483165,-0.00483165
1.56812,-0.851642,1.44065,-1.90898,-2.92994,1.83379,0.00429911,0.00429693,0.00429911,0.00429911,-0.00429911,-0.00429911
1.57305,-0.842567,1.45736,-1.91657,-2.95051,1.84322,0.00376506,0.00376315,0.00376506,0.00376506,-0.00376506,-0.00376506
1.57799,-0.83347,1.47411,-1.92419,-2.97113,1.85268,0.00322967,0.00322803,0.00322967,0.00322967,-0.00322967,-0.00322967
1.58294,-0.824353,1.4909,-1.93182,-2.99179,1.86216,0.00269313,0.00269177,0.00269313,0.00269313,-0.00269313,-0.00269313
1.5879,-0.81522,1.50771,-1.93946,-3.01249,1.87165,0.00215565,0.00215456,0.00215565,0.00215565,-0.00215565,-0.00215565
1.59287,-0.806074,1.52456,-1.94712,-3.03322,1.88116,0.0016174,0.00161658,0.0016174,0.0016174,-0.0016174,-0.0016174
1.59784,-0.796919,1.54141,-1.95479,-3.05398,1.89068,0.00107859,0.00107804,0.00107859,0.00107859,-0.00107859,-0.00107859
1.60282,-0.787757,1.55828,-1.96246,-3.07474,1.90021,0.000539388,0.000539115,0.000539388,0.000539388,-0.000539388,-0.000539388
1.6078,-0.778591,1.57516,-1.97013,-3.09552,1.90974,0,0,0,0,0,0
